id_imagen,tipo_manovich,mediana_luminancia,dispersion_luminancia,prop_sombras,prop_altas_luces,matiz_dominante_deg,saturacion_media,dominancia_cromatica
005135c4ff2b5b75,casual,0.3218,0.2403,0.1411,0.0029,13.25,0.4706,0.1635
079b3400d6a52fda,casual,0.3865,0.1994,0.0559,0.0133,73.49,0.3956,0.0891
0c8f605eae5227b6,casual,0.4838,0.2415,0.077,0.0126,27.56,0.2288,0.1392
0d1ecda1d4bbe36b,casual,0.5662,0.1963,0.0196,0.0027,31.03,0.3825,0.1847
0f4fb28eee8666b3,casual,0.1484,0.2881,0.3199,0.0752,13.88,0.3778,0.2375
17eb746cacd0e4e9,casual,0.4797,0.2579,0.0405,0.0876,63.33,0.3015,0.0733
19475964e1a62595,casual,0.5695,0.2588,0.003,0.1327,59.1,0.1804,0.1276
1bcaf83270a10bf1,casual,0.5652,0.1187,0.0018,0.0118,54.95,0.2897,0.3174
1cdae17b3c639477,casual,0.2847,0.2399,0.0735,0.044,100.18,0.3656,0.0864
1df84e2dee41bfd4,casual,0.4506,0.2189,0.0292,0.0194,51.66,0.3943,0.1023
1eb30ed14b860d5e,casual,0.5331,0.1986,0.026,0.0443,22.95,0.1899,0.1369
21808e82e49fdc49,casual,0.6,0.2223,0.0457,0.0321,206.96,0.404,0.1764
24598a72c12ac62f,casual,0.5128,0.2505,0.0311,0.0527,7.22,0.105,0.1752
24b86ce744927975,casual,0.5035,0.2384,0.0485,0.0364,254.07,0.3313,0.0515
24ef167f5258ff6a,casual,0.3758,0.2194,0.0291,0.0245,24.78,0.3187,0.0823
27a455b82f1aab9e,casual,0.3666,0.2411,0.1569,0.0045,359.77,0.4167,0.0916
2a78426cc7940949,casual,0.4609,0.2545,0.0839,0.0241,274.53,0.2801,0.0772
2ab281201312fecb,casual,0.5155,0.1949,0.0,0.0264,27.01,0.1478,0.1029
2b4779ae9a82d40f,casual,0.4306,0.2478,0.0622,0.0507,21.51,0.3806,0.0798
2c29b3aac351c060,casual,0.6589,0.1101,0.0001,0.0,291.66,0.137,0.4903
2c9a8b35dc14bc73,casual,0.5544,0.1934,0.0528,0.0079,29.0,0.4514,0.1521
2fb99a00a841d253,casual,0.3693,0.2343,0.0782,0.0017,196.93,0.1872,0.1151
30747585c90cd4b2,casual,0.4667,0.1473,0.0101,0.0053,114.1,0.1436,0.179
385ad8dbe25b5996,casual,0.3626,0.2673,0.0773,0.059,33.66,0.2634,0.0986
43d84889e50384e5,casual,0.7035,0.2481,0.0691,0.0006,15.24,0.2109,0.2959
4a5dd195908a1d72,casual,0.3144,0.2282,0.0553,0.0209,4.94,0.5688,0.0692
52508cb0b352df57,casual,0.455,0.2162,0.1028,0.0035,29.85,0.5186,0.0762
553dd11e323cd819,casual,0.4636,0.2174,0.0544,0.0079,35.06,0.328,0.1053
5976f4e6485a18c8,casual,0.4764,0.1807,0.025,0.0361,282.63,0.2542,0.151
59bf4fcdce804260,casual,0.6524,0.1983,0.0417,0.0009,41.54,0.1894,0.4669
5c8b38273e53c777,casual,0.307,0.2185,0.1419,0.0014,39.22,0.171,0.1565
5dddb7ae5c34be3d,casual,0.4576,0.203,0.0699,0.0032,25.71,0.2568,0.0823
5e5c5171aab15b9b,casual,0.5837,0.1558,0.0006,0.0001,128.49,0.1161,0.2213
648242a78c764c00,casual,0.3328,0.2253,0.063,0.0076,278.03,0.2288,0.1477
661e2be5961d2f8f,casual,0.5598,0.1915,0.0297,0.0215,28.97,0.1108,0.162
68b9770b4b560b81,casual,0.4982,0.1839,0.0193,0.0178,60.93,0.197,0.1274
7c08ace89a7197c3,casual,0.5821,0.2583,0.091,0.0247,28.23,0.2585,0.0961
864dd09676202286,casual,0.3962,0.1889,0.0327,0.0109,13.33,0.3144,0.1611
896e154c74869e7c,casual,0.3556,0.2728,0.1333,0.0311,119.98,0.2309,0.1637
8cf1dc255ffcb944,casual,0.2965,0.2302,0.1558,0.042,20.54,0.4004,0.1235
8d0e61cbdc64e3b9,casual,0.2558,0.3116,0.2061,0.123,307.3,0.2746,0.1956
8d1258598afca955,casual,0.3341,0.2459,0.0768,0.0055,105.25,0.3754,0.0922
954d83367218a65c,casual,0.3488,0.2603,0.1055,0.0133,53.62,0.1955,0.1296
9b4ca6034efcdf37,casual,0.2415,0.3074,0.2105,0.0894,214.55,0.3713,0.1819
9c7f9e35a3e2c1be,casual,0.129,0.1976,0.3933,0.0058,19.22,0.4848,0.3131
a0cedbc649ee25ed,casual,0.2307,0.2064,0.0363,0.0099,150.67,0.2617,0.4011
a71cfcb631e53314,casual,0.5418,0.2613,0.0479,0.0305,48.28,0.2857,0.2662
a910a71422e08e26,casual,0.116,0.1742,0.4163,0.0044,246.71,0.4837,0.2262
aa450afd32d7f33c,casual,0.3727,0.1798,0.0068,0.0184,104.71,0.2805,0.1064
ab13cb8cee0494cf,casual,0.652,0.26,0.0321,0.0281,212.42,0.3721,0.1784
b0c7a2504d814937,casual,0.4139,0.1313,0.0093,0.0,177.0,0.4234,0.1129
b5b96d793df13694,casual,0.5119,0.1862,0.0,0.008,201.82,0.2967,0.0675
bf2a5766d6b9bcbc,casual,0.1626,0.2745,0.3993,0.0167,354.82,0.3901,0.3549
c29065bbe01cb834,casual,0.1744,0.2633,0.3348,0.0362,47.18,0.4894,0.3049
c507b59a50eba067,casual,0.5845,0.2524,0.0766,0.0195,47.35,0.1636,0.2035
c9189ae0c1687c1e,casual,0.5162,0.2598,0.0665,0.0659,59.31,0.3062,0.08
ca4c2fcffb767f6a,casual,0.2499,0.2746,0.0303,0.0239,358.51,0.2866,0.3316
cefbe6ec666f0528,casual,0.3563,0.295,0.171,0.0715,21.39,0.494,0.1319
d3b56af750149365,casual,0.6734,0.2577,0.03,0.0013,84.8,0.1034,0.2431
d6f94f8c35848c9d,casual,0.4682,0.2761,0.0967,0.0914,52.0,0.1669,0.1007
